"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_e8030071","fingerprints","Unique ridge patterns from fingers used as physical evidence in forensic investigations.","EvidenceType","0.97","This evidence can range from fingerprints and DNA samples to firearms and tool marks. By examining the physical characteristics of the evidence, forensic scientists can determine important details such as the identity of a suspect.","entity_raw","ClsC_0402a4af","Forensic Physical Evidence","Forensic Evidence","[""Ch_000002""]","[]"
"En_225a4641","firearms","Guns and related weapons examined as forensic evidence for criminal investigations.","EvidenceType","0.96","This evidence can range from fingerprints and DNA samples to firearms and tool marks. By examining the physical characteristics of the evidence, forensic scientists can determine important details such as the identity of a suspect.","entity_raw","ClsC_0402a4af","Forensic Physical Evidence","Forensic Evidence","[""Ch_000002""]","[]"
"En_67a4f128","tool marks","Impressions or striations left by tools on surfaces, analyzed in forensic investigations.","EvidenceType","0.96","This evidence can range from fingerprints and DNA samples to firearms and tool marks. Forensic scientists use a variety of techniques to collect and analyze this evidence.","entity_raw","ClsC_0402a4af","Forensic Physical Evidence","Forensic Evidence","[""Ch_000002""]","[]"
"Can_1818d2ff","physical evidence","Tangible materials or objects collected at a scene, such as biological traces, weapons, or trace particles, that are collected and analyzed by forensic science for investigations and presentation in court.","Evidence","0.97","Both entities share the same name and forensic-science context, and their descriptions are clearly complementary definitions of the same concept of tangible forensic evidence.","entity_raw","ClsC_0402a4af","Forensic Physical Evidence","Forensic Evidence","[""Ch_000001"", ""Ch_000002"", ""Ch_000003""]","[]"
"En_f62c4387","microscopy","Analytical technique using microscopes to examine small or detailed features of forensic evidence.","InspectionMethod","0.99","Forensic scientists use a variety of techniques to collect and analyze this evidence, including microscopy, spectroscopy, chromatography, and DNA profiling.","entity_raw","ClsC_b1faa47b","Forensic Analytical Techniques","Forensic Analytical Science","[""Ch_000002""]","[]"
"En_af8bcf5f","spectroscopy","Technique analyzing light or electromagnetic interactions to identify materials in forensic samples.","InspectionMethod","0.99","Forensic scientists use a variety of techniques to collect and analyze this evidence, including microscopy, spectroscopy, chromatography, and DNA profiling.","entity_raw","ClsC_b1faa47b","Forensic Analytical Techniques","Forensic Analytical Science","[""Ch_000002""]","[]"
"En_78adefbf","chromatography","Separation technique used to analyze mixtures and substances in forensic evidence.","InspectionMethod","0.99","Forensic scientists use a variety of techniques to collect and analyze this evidence, including microscopy, spectroscopy, chromatography, and DNA profiling.","entity_raw","ClsC_b1faa47b","Forensic Analytical Techniques","Forensic Analytical Science","[""Ch_000002""]","[]"
"En_4f9b303b","DNA profiling","Forensic technique for identifying individuals based on their unique genetic patterns.","InspectionMethod","0.99","Forensic scientists use a variety of techniques to collect and analyze this evidence, including microscopy, spectroscopy, chromatography, and DNA profiling.","entity_raw","ClsC_b1faa47b","Forensic Analytical Techniques","Forensic Analytical Science","[""Ch_000002""]","[]"
"En_420bc726","mass spectrometry","Analytical technique used to identify and quantify chemical substances like drugs or toxins in samples.","InspectionMethod","0.98","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_b1faa47b","Forensic Analytical Techniques","Forensic Analytical Science","[""Ch_000003""]","[]"
"En_b6d7e01d","trace evidence","Small or microscopic materials like fibers or hair that can link people or objects to crime scenes.","EvidenceType","0.96","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_31bea111","Trace Evidence","Forensic Evidence","[""Ch_000003""]","[]"
