"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_d03912b1","organs","Internal bodily structures of the caterpillar that dissolve during metamorphosis inside the chrysalis.","BiologicalStructure","0.93","Its organs dissolve into a soupy substance, and new tissues and structures, such as wings and antennae, begin to form. This describes internal caterpillar organs breaking down during metamorphosis.","entity_raw","ClsC_0ae8824f","Insect Body Structures","Insect Metamorphosis Anatomy and States","[""Ch_000005""]","[]"
"En_8afea79f","antennae","Sensory appendages that form as new structures during metamorphosis of the butterfly.","BiologicalStructure","0.96","Its organs dissolve into a soupy substance, and new tissues and structures, such as wings and antennae, begin to form. Antennae are mentioned as among the new structures created in metamorphosis.","entity_raw","ClsC_0ae8824f","Insect Body Structures","Insect Metamorphosis Anatomy and States","[""Ch_000005""]","[]"
"Can_24d53cb7","pollination","Biological process in which pollen is transferred between parts of flowers or between flowers, enabling plant reproduction and influencing plant population dynamics.","BiologicalProcess","0.96","Both mentions refer to the same biological process of pollen transfer for plant reproduction, just in slightly different ecological contexts (caterpillars vs. butterflies).","entity_raw","ClsC_5ce54d33","Plant Reproduction Concepts","Plant Reproduction and Pollination","[""Ch_000003"", ""Ch_000006""]","[]"
"En_52757a3b","plant population balance","The equilibrium of plant numbers and distribution that caterpillars help maintain.","EcologicalState","0.86","Despite their small size, caterpillars are essential to the ecosystem as they play a crucial role in pollination and maintaining the balance of plant populations.","entity_raw","ClsC_5ce54d33","Plant Reproduction Concepts","Plant Reproduction and Pollination","[""Ch_000003""]","[]"
"En_5649f418","flowers","Reproductive structures of plants that produce nectar and pollen visited by butterflies.","BiologicalStructure","0.95","Adult butterflies feed on nectar from flowers using their long, tubular mouthparts called proboscis. They play a crucial role in pollination by transferring pollen from one flower to another, helping plants reproduce.","entity_raw","ClsC_08b672ee","Flowering Plant Entities","Plant Reproduction and Pollination","[""Ch_000006""]","[]"
"En_b1fba1f0","pollen","Plant reproductive material transferred by butterflies between flowers.","BiologicalSubstance","0.95","They play a crucial role in pollination by transferring pollen from one flower to another, helping plants reproduce.","entity_raw","ClsC_08b672ee","Flowering Plant Entities","Plant Reproduction and Pollination","[""Ch_000006""]","[]"
"En_6ac7295d","plants","Organisms with flowers that reproduce using pollen transfer facilitated by butterflies.","Organism","0.9","They play a crucial role in pollination by transferring pollen from one flower to another, helping plants reproduce.","entity_raw","ClsC_08b672ee","Flowering Plant Entities","Plant Reproduction and Pollination","[""Ch_000006""]","[]"
"En_dd588134","molting","The process by which caterpillars shed their skin multiple times as they grow.","BiologicalProcess","0.97","They shed their skin several times as they grow, a process known as molting. Each time they molt, they reveal a new, larger skin underneath.","entity_raw","ClsC_ce1cb2be","Caterpillar Molting","Caterpillar Biology & Adaptations","[""Ch_000003""]","[]"
"En_e03c4eb3","caterpillar skin","The outer covering that caterpillars repeatedly shed and replace with a larger one.","BiologicalStructure","0.86","They shed their skin several times as they grow, a process known as molting. Each time they molt, they reveal a new, larger skin underneath.","entity_raw","ClsC_ce1cb2be","Caterpillar Molting","Caterpillar Biology & Adaptations","[""Ch_000003""]","[]"
"En_988d9ae7","caterpillar shapes","The varied body forms that caterpillars exhibit across different species.","MorphologicalCharacteristic","0.8","Caterpillars come in a variety of shapes, sizes, and colors, depending on the species.","entity_raw","ClsC_27b6eed4","Caterpillar Morphology","Caterpillar Biology & Adaptations","[""Ch_000003""]","[]"
