"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"Can_d7075cf0","ecosystem","Interacting community of organisms and their physical environment in which caterpillars and butterflies act as pollinators and prey.","Environment","0.9","Both mentions refer to the same generic ecological community context and share the same name and type, differing only in which organisms are highlighted.","entity_raw","ClsC_e0d7198b","Butterfly Ecosystems and Natural Environments","Butterfly Ecology, Habitat, and Food Web","[""Ch_000003"", ""Ch_000006""]","[]"
"En_a6a35cf1","natural world","The broader ecosystem and biological processes that butterfly life cycles are part of.","Environment","0.83","By understanding and appreciating the life cycle of butterflies, we gain a deeper appreciation for the intricate connections and processes that make up the natural world. This phrase refers to the overall ecological and biological environment.","entity_raw","ClsC_e0d7198b","Butterfly Ecosystems and Natural Environments","Butterfly Ecology, Habitat, and Food Web","[""Ch_000007""]","[]"
"En_35e31952","balance of plant populations","Ecological state where plant species abundance is maintained within an ecosystem.","EcologicalState","0.88","Despite their small size, caterpillars are essential to the ecosystem as they play a crucial role in pollination and maintaining the balance of plant populations. Their feeding and ecological interactions influence plant community dynamics.","entity_raw","ClsC_b7ed0484","Butterfly-Driven Ecological Outcomes","Butterfly Ecology, Habitat, and Food Web","[""Ch_000003""]","[]"
"En_ce5a9b9d","biodiversity","Variety of living organisms in an ecosystem to which butterflies contribute.","EcologicalConcept","0.93","Butterflies also serve as a food source for birds, reptiles, and other insects, contributing to the overall biodiversity of their ecosystem.","entity_raw","ClsC_b7ed0484","Butterfly-Driven Ecological Outcomes","Butterfly Ecology, Habitat, and Food Web","[""Ch_000006""]","[]"
"Can_63faab69","caterpillar (larval stage of butterfly)","The larval life stage of a butterfly, immediately after the egg hatches, during which the organism is a caterpillar that feeds and grows on host plants before forming a pupa.","LifeStage","0.99","Both entities refer to the same larval (caterpillar) stage in the butterfly life cycle, with matching scope and role, only phrased differently.","entity_raw","ClsC_da99310a","Butterfly larval and pupal stages","Butterfly Life Cycle Stages","[""Ch_000001"", ""Ch_000002"", ""Ch_000003"", ""Ch_000004"", ""Ch_000007""]","[]"
"Can_92ae16e5","pupa stage","The third developmental life stage of a butterfly, in which the organism is enclosed in a chrysalis and undergoes metamorphosis from larva to adult.","OrganismLifeStage","0.96","All three mentions describe the same chrysalis life stage of a butterfly using nearly identical context and semantics, differing only slightly in phrasing and type hints.","entity_raw","ClsC_da99310a","Butterfly larval and pupal stages","Butterfly Life Cycle Stages","[""Ch_000001"", ""Ch_000004"", ""Ch_000007""]","[]"
"En_50ff70fb","metamorphosis process duration","Time span of metamorphosis inside the chrysalis, ranging from days to weeks depending on species.","OperatingCondition","0.83","This process can take anywhere from a few days to several weeks, depending on the species of butterfly. The sentence describes the duration of metamorphosis inside the chrysalis.","entity_raw","ClsC_8d404c11","Butterfly Metamorphosis Time Attributes","Butterfly Life Cycle and Development","[""Ch_000005""]","[]"
"En_b23551a2","underside of leaves","Protected surface on the bottom of plant leaves where butterfly eggs are usually laid.","Location","0.9","The eggs are usually laid on the underside of leaves to protect them from predators.","entity_raw","ClsC_93a9cf68","Butterfly Egg-Laying Sites and Larval Food Leaves","Butterfly Ecology, Habitat, and Food Web","[""Ch_000002""]","[]"
"En_b5d0970a","plant leaves","Plant leaves that provide surfaces for butterfly egg laying and serve as a primary food source for caterpillars.","PlantPart","0.9","The eggs are usually laid on the underside of leaves to protect them from predators. Caterpillars are voracious eaters and spend most of their time feeding on leaves and growing rapidly.","entity_raw","ClsC_93a9cf68","Butterfly Egg-Laying Sites and Larval Food Leaves","Butterfly Ecology, Habitat, and Food Web","[""Ch_000002""]","[]"
"En_1eb696d6","leaf","Flat, typically green plant organ attached to a stem, which can serve as an attachment surface for a chrysalis.","BiologicalStructure","0.86","The caterpillar attaches itself to a leaf or stem and forms a protective shell around itself called a chrysalis.","entity_raw","ClsC_5da5be54","Plant Organs Supporting Metamorphosis Habitat","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000004""]","[]"
